Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
iShares,EWT,iShares MSCI Taiwan ETF,5,Low,Neutral,5.0,48.7,48.7,44.8,40.1,40.0,51.7
Vanguard,VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,4,Average,Gold,3.0,48.2,48.2,46.0,39.8,36.3,38.1
iShares,IGM,iShares Expanded Tech Sector ETF,4,Average,Bronze,3.0,48.1,48.1,41.7,39.3,26.6,16.5
iShares,RING,iShares MSCI Global Gold Miners ETF,4,Average,Neutral,3.0,47.9,47.9,40.3,37.9,18.4,45.4
First Trust,WCMI,First Trust WCM International Equity ETF,4,Below Average,Neutral,3.0,47.8,47.8,47.8,53.4,40.8,22.9
Vanguard,VOX,Vanguard Communication Services Index Fund ETF Shares,4,Average,Neutral,2.0,47.8,47.8,47.8,45.2,40.8,19.9
Vanguard,VOOV,Vanguard S&P 500 Value Index Fund ETF Shares,4,Average,Gold,4.0,47.5,47.5,47.5,47.4,44.4,11.0
BlackRock,FTEC,Fidelity MSCI Information Technology Index ETF,4,Below Average,Bronze,4.0,47.4,47.4,40.9,31.7,24.6,28.3
Schwab,SCHX,Schwab U.S. Large-Cap ETF™,4,Average,Gold,3.0,47.3,47.3,41.3,34.6,33.2,42.0
iShares,DVY,iShares Select Dividend ETF,4,Below Average,Silver,2.0,47.1,47.1,47.5,39.5,51.8,27.5
JPMorgan,JPIB,JPMorgan International Bond Opportunities ETF,5,Average,Silver,3.0,46.9,46.9,46.9,62.8,40.8,62.5
Vanguard,VOE,Vanguard Mid-Cap Value Index Fund ETF Shares,4,Average,Gold,4.0,46.9,46.9,44.1,42.5,41.2,32.2
iShares,TLTW,iShares 20+ Year Treasury Bond Buywrite Strategy ETF,4,Average,Gold,5.0,46.7,46.7,49.1,57.2,76.1,92.5
iShares,EWJV,iShares MSCI Japan Value ETF,4,Average,Gold,2.0,46.7,46.7,46.7,58.4,34.9,41.1
iShares,EMHY,iShares J.P. Morgan EM High Yield Bond ETF,4,Average,,2.0,46.7,46.7,46.7,42.2,38.1,11.7
iShares,IHI,iShares U.S. Medical Devices ETF,4,Average,Neutral,3.0,46.6,46.6,52.0,48.2,45.3,33.5
Morgan Stanley,EFR,Eaton Vance Senior Floating-Rate Trust,4,Average,,,46.6,46.6,46.6,31.8,36.2,13.4
Vanguard,VB,Vanguard Small-Cap Index Fund ETF Shares,4,Average,Gold,4.0,46.6,46.6,44.1,42.9,47.2,53.0
JPMorgan,JEPI,JPMorgan Equity Premium Income ETF,4,Below Average,Silver,3.0,46.6,46.6,42.9,34.0,29.5,36.8
Vanguard,VEU,Vanguard FTSE All-World ex-US Index Fund ETF Shares,4,Below Average,Gold,2.0,46.6,46.6,40.6,38.5,38.2,47.3
Vanguard,VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,4,Average,Gold,3.0,46.5,46.5,54.2,56.0,57.2,64.8
Vanguard,VHT,Vanguard Health Care Index Fund ETF Shares,4,Below Average,Bronze,3.0,46.5,46.5,48.4,60.1,44.7,36.2
iShares,EWH,iShares MSCI Hong Kong ETF,4,Below Average,Neutral,5.0,46.3,46.3,46.7,42.2,36.8,80.0
SPDR,SPYV,State Street® SPDR® Portfolio S&P 500 Value ETF,4,Average,Silver,4.0,46.3,46.3,46.6,46.8,48.2,46.7
Vanguard,VOT,Vanguard Mid-Cap Growth Index Fund ETF Shares,4,Average,Silver,4.0,46.1,46.1,46.1,43.9,51.2,91.7
iShares,IGEB,iShares Investment Grade Systematic Bond ETF,4,Average,Bronze,2.0,45.8,45.8,45.8,36.4,19.5,22.1
SPDR,XLV,State Street® Health Care Select Sector SPDR® ETF,5,Below Average,Neutral,4.0,45.7,45.7,49.0,46.3,48.5,35.2
