Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
iShares,MEAR,iShares Short Maturity Municipal Bond Active ETF,4,Below Average,Bronze,,18.0,18.0,18.0,18.0,18.0,6.2
Dimensional,DFAI,Dimensional International Core Equity Market ETF,4,Below Average,Silver,2.0,17.2,17.2,12.6,6.8,4.5,32.1
iShares,GLOF,iShares Global Equity Factor ETF,4,Average,Gold,2.0,15.5,15.5,15.5,15.5,15.5,15.5
iShares,IXP,iShares Global Comm Services ETF,4,Below Average,Neutral,2.0,15.4,15.4,15.4,15.4,15.4,7.1
Invesco,SPVM,Invesco S&P 500 Value with Momentum ETF,5,Average,Silver,3.0,12.8,12.8,12.8,12.8,12.8,12.8
iShares,GARP,iShares MSCI USA Quality GARP ETF,5,Average,Gold,3.0,12.0,12.0,12.0,10.4,5.2,0.8
Morgan Stanley,CVSB,Calvert Ultra-Short Investment Grade ETF,4,Average,Neutral,3.0,11.1,11.1,11.1,11.1,11.1,11.1
First Trust,FMNY,First Trust New York High Income Municipal ETF,4,Low,Neutral,,8.6,8.6,8.6,8.6,8.6,8.6
SPDR,SMLV,State Street® SPDR® US Small Cap Low Volatility Index ETF,4,Below Average,Neutral,2.0,8.2,8.2,8.2,8.2,8.2,8.2
iShares,INMU,iShares Intermediate Muni Income Active ETF,4,Below Average,Bronze,,8.2,8.2,8.2,8.2,8.2,7.0
Invesco,IDHQ,Invesco S&P International Developed Quality ETF,4,Below Average,Silver,4.0,5.8,5.8,5.8,5.8,2.1,37.5
Invesco,PWB,Invesco Large Cap Growth ETF,5,Average,Bronze,3.0,5.1,5.1,5.1,5.1,5.1,0.6
SPDR,GAL,State Street® Global Allocation ETF,4,Average,Silver,2.0,0.8,0.8,0.8,0.8,0.8,0.7
iShares,HEZU,iShares Currency Hedged MSCI Eurozone ETF,4,Below Average,Neutral,3.0,0.7,0.7,0.7,0.7,0.4,45.8
SPDR,ONEV,State Street® SPDR® Russell 1000 Low Volatility Focus ETF,4,Low,Gold,4.0,0.0,0.0,0.0,0.0,0.0,0.0
iShares,RXI,iShares Global Consumer Discretionary ETF,4,Low,Silver,4.0,0.0,0.0,0.0,0.0,0.0,0.0
First Trust,DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,4,Average,Bronze,4.0,0.0,0.0,0.0,0.0,0.0,0.0
iShares,CRBN,iShares Low Carbon Optimized MSCI ACWI ETF,4,Average,Bronze,3.0,0.0,0.0,0.0,0.0,0.0,0.0
